geo.name;year;majority;tfr17;gm gdpper 2017;pop 2017;region
Afghanistan;2017;muslim;4.48;1798;35530081;asia
Algeria;2017;muslim;2.71;13802;41318142;africa
Antigua and Barbuda;2017;christian;2.04;20906;102012;americas
Armenia;2017;christian;1.6;8410;2930450;europe
Aruba;2017;christian;1.8;38511;105264;americas
Azerbaijan;2017;muslim;2.06;16187;9827589;europe
Bahamas;2017;christian;1.76;21706;395361;americas
Barbados;2017;christian;1.8;15834;285719;americas
Belize;2017;christian;2.48;7778;374681;americas
Bhutan;2017;other;2.02;8871;807610;asia
Bolivia;2017;christian;2.84;6847;11051600;americas
Botswana;2017;christian;2.68;15973;2291661;africa
Brunei;2017;muslim;1.86;71330;428697;asia
Burundi;2017;christian;5.62;705;10864245;africa
Cape Verde;2017;christian;2.3;6244;546388;africa
Central African Republic;2017;christian;4.8;668;4659080;africa
Chile;2017;christian;1.77;22991;18054726;americas
Colombia;2017;christian;1.83;13377;49065615;americas
Comoros;2017;muslim;4.28;1425;813912;africa
Congo, Dem. Rep.;2017;christian;6.02;745;81339988;africa
Congo, Rep.;2017;christian;4.6;5650;5260750;africa
Costa Rica;2017;christian;1.77;15818;4905769;americas
Croatia;2017;christian;1.45;22034;4189353;europe
Cuba;2017;christian;1.72;19963;11484636;americas
Cyprus;2017;christian;1.34;31716;1179551;europe
Djibouti;2017;muslim;2.79;3400;956985;africa
Dominican Republic;2017;christian;2.39;14652;10766998;americas
Ecuador;2017;christian;2.46;10284;16624858;americas
El Salvador;2017;christian;2.06;8148;6377853;americas
Equatorial Guinea;2017;christian;4.6;21893;1267689;africa
Estonia;2017;other;1.65;28595;1309632;europe
Fiji;2017;christian;2.49;9147;905502;asia
Gabon;2017;christian;3.72;16999;2025137;africa
Gambia;2017;muslim;5.36;1569;2100568;africa
Grenada;2017;christian;2.08;13205;107825;americas
Guatemala;2017;christian;2.92;7439;16913503;americas
Guinea-Bissau;2017;other;4.56;1506;1861283;africa
Guyana;2017;christian;2.49;7486;777859;americas
Haiti;2017;christian;2.87;1683;10981229;americas
Honduras;2017;christian;2.42;4486;9265067;americas
Hong Kong, China;2017;other;1.32;55209;7364883;asia
Iceland;2017;christian;1.92;46401;335025;europe
Iran;2017;muslim;1.64;16844;81162788;asia
Iraq;2017;muslim;4.31;16096;38274618;asia
Ireland;2017;christian;1.98;64254;4761657;europe
Jamaica;2017;christian;1.99;8342;2890299;americas
Japan;2017;other;1.47;38613;127484450;asia
Jordan;2017;muslim;3.31;8413;9702353;asia
Kiribati;2017;christian;3.61;1898;116398;asia
North Korea;2017;other;1.9;1388;25490965;asia
Kuwait;2017;muslim;1.96;67749;4136528;asia
Lao;2017;other;2.64;6007;6858160;asia
Latvia;2017;christian;1.56;24567;1949670;europe
Lebanon;2017;muslim;1.71;13172;6082357;asia
Lesotho;2017;christian;3.04;2867;2233339;africa
Libya;2017;muslim;2.24;17925;6374616;africa
Lithuania;2017;christian;1.66;29095;2890297;europe
Luxembourg;2017;christian;1.58;98127;583455;europe
Macao, China;2017;other;1.34;96574;622567;asia
Malawi;2017;christian;4.51;1106;18622104;africa
Maldives;2017;muslim;2.05;12599;436330;asia
Malta;2017;christian;1.47;36831;430835;europe
Mauritania;2017;muslim;4.61;3588;4420184;africa
Micronesia, Fed. Sts.;2017;christian;3.1;3378;105544;asia
Moldova;2017;christian;1.23;5131;4051212;europe
Mongolia;2017;other;2.71;11364;3075647;asia
Morocco;2017;muslim;2.45;7481;35739580;africa
Namibia;2017;christian;3.35;10203;2533794;africa
Nicaragua;2017;christian;2.17;5296;6217581;americas
Niger;2017;muslim;7.18;928;21477348;africa
Oman;2017;muslim;2.59;39357;4636262;asia
Panama;2017;christian;2.49;22306;4098587;americas
Papua New Guinea;2017;christian;3.61;2781;8251162;asia
Paraguay;2017;christian;2.45;9078;6811297;americas
Peru;2017;christian;2.37;12388;32165485;americas
Puerto Rico;2017;christian;1.47;32659;3663131;americas
Qatar;2017;muslim;1.89;119778;2639211;asia
Romania;2017;christian;1.53;22516;19679306;europe
St. Lucia;2017;christian;1.45;10794;178844;americas
St. Vincent and the Grenadines;2017;christian;1.91;11053;109897;americas
Samoa;2017;christian;3.93;5892;196440;asia
Sao Tome and Principe;2017;christian;4.39;3087;204327;africa
Saudi Arabia;2017;muslim;2.49;50119;32938213;asia
Seychelles;2017;christian;2.28;26918;94737;africa
Singapore;2017;other;1.25;82615;5708844;asia
Slovak Republic;2017;christian;1.46;30207;5447662;europe
Slovenia;2017;christian;1.64;30367;2079976;europe
Solomon Islands;2017;christian;3.8;2090;611343;asia
Somalia;2017;muslim;6.17;627;14742523;africa
Sudan;2017;muslim;4.47;4414;40533330;africa
Suriname;2017;christian;2.35;13046;563402;americas
Swaziland;2017;christian;3.03;7660;1367254;africa
Syria;2017;muslim;2.87;3100;18269868;asia
Taiwan;2017;other;1.21;42194;23626456;asia
Tajikistan;2017;muslim;3.31;2841;8921343;asia
Timor-Leste;2017;christian;5.39;1804;1296311;asia
Togo;2017;other;4.38;1429;7797694;africa
Tonga;2017;christian;3.6;5409;108020;asia
Trinidad and Tobago;2017;christian;1.74;29939;1369125;americas
Tunisia;2017;muslim;2.18;11177;11532127;africa
Turkey;2017;muslim;2.03;24276;80745020;europe
Turkmenistan;2017;muslim;2.84;16730;5758075;asia
United Arab Emirates;2017;muslim;1.73;67698;9400145;asia
Uzbekistan;2017;muslim;2.26;6355;31910641;asia
Vanuatu;2017;christian;3.24;2890;276244;asia
Palestine;2017;muslim;3.94;2695;4920724;asia
Yemen;2017;muslim;3.89;2378;28250420;asia
Zambia;2017;christian;4.93;3750;17094130;africa
Albania#muslim;2017;muslim;1.755083713;11912;2352940.161;europe
Angola#muslim;2017;muslim;5.62;5939;59568.386;africa
Argentina#muslim;2017;muslim;2.277515438;14022.75;442710.41;americas
Australia#muslim;2017;muslim;2.811449526;33828.75;586813.464;asia
Austria#muslim;2017;muslim;2.404897245;33295.5;471714.462;europe
Bahrain#muslim;2017;muslim;2.9;44456;1049286.552;asia
Bangladesh#muslim;2017;muslim;2.107299102;3515;148861454.9;asia
Belarus#muslim;2017;muslim;1.743237733;16935;18936.676;europe
Belgium#muslim;2017;muslim;2.650833699;31767.75;674330.824;europe
Benin#muslim;2017;muslim;5.173362471;2083;2659814.696;africa
Bosnia and Herzegovina#muslim;2017;muslim;1.38;11592;1585171.684;europe
Brazil#muslim;2017;muslim;1.576549704;14165;209288.278;americas
Bulgaria#muslim;2017;muslim;1.757094449;14632;970586.227;europe
Burkina Faso#muslim;2017;muslim;5.376063352;1650;11823123.31;africa
Cambodia#muslim;2017;muslim;3;2732.25;320107.46;asia
